,es,en
KEY_MENU_CREDITS,Créditos,Credits
KEY_MENU_TOUCH_START,Toca para comenzar,Touch to start
KEY_MENU_SOUND_WARN,Experiencia recomendada con audífonos,Headphones recommended experience
KEY_MENU_CR_DEV,Programación,Development
KEY_MENU_CR_DES,Arte / Diseño,Art / Design
KEY_MENU_CR_SFX,Música / Sonidos,Music / Sounds
KEY_MENU_CR_NAR,Narrativa,Narrative
KEY_MENU_CR_CLOSE,Cerrar,Close
KEY_MENU_LANGS,Idíomas,Languages
KEY_GAME_INTRO_1,"[center][color=yellow]BARLOVENTO, AÑO 20XX[/color]\n\nTODO MUERE, DESDE LOS PERIÓDICOS HASTA LOS LIRIOS. LA PENUMBRA LLEGÓ SIN FORMA DEFINIDA Y SE ESPARCIÓ POR TODA LA TIERRA MOJADA. AHORA CUBRE BOCAS Y LINTERNAS PARA CAMINAR A PLENA LUZ DEL DÍA SON REQUERIDAS.[/center]","[center][color=yellow]BARLOVENTO, YEAR 20XX[/color]\n\nEVERYTHING DIES, FROM NEWSPAPERS TO LILIES. THE PENUMBRA ARRIVED WITHOUT DEFINED FORM AND SPREAD THROUGHOUT THE WET EARTH. NOW MOUTH COVERS AND FLASHLIGHTS TO WALK IN FULL DAYLIGHT ARE REQUIRED.[/center]"
KEY_GAME_INTRO_2,[center]¿ES QUE ALGUNA VEZ DEJAMOS DE BUSCAR LO QUE NO SE NOS HA PERDIDO?[/center],[center]DOES WE EVER STOP LOOKING FOR WHAT WE HAVE NOT MISSED?[/center]
KEY_GAME_INTRO_3,"[center]ESTÁS MUERTO, PERO AÚN NO LO SABES. MIENTRAS TANTO, TU TRABAJO ES ACARICIAR LA VERDAD\n\n- COMO SI REALMENTE EXISTIERA -[/center]","[center]YOU'RE DEAD, BUT YOU DON'T KNOW IT YET. MEANWHILE, YOUR JOB IS TO FEAR THE TRUTH\n\n- AS IF IT REALLY EXISTS -[/center]"
KEY_GAME_DLG_WRK_1,"Hora de ponerse a trabajar. La [color=yellow]inspección de internet[/color], no se va a hacer sola!",Time to get to work. The [color=yellow]internet inspection[/color] is not going to be done alone!
KEY_GAME_DLG_WRK_2,Cuando estés listo ve a la [color=yellow]computadora[/color],When you are ready go to the [color=yellow]computer[/color]
KEY_GAME_CALENDAR_1,"UN SUCÍO Y ARRUGADO CALENDARIO TIENE RESALTADA LA FECHA [color=yellow]25 DE ENERO[/color], JUNTO A LA MARCA SE LEE: [color=yellow]CUMPLEAÑOS - CLARA.[/color]","UN SUCÍO Y ARRUGADO CALENDARIO TIENE RESALTADA LA FECHA [color=yellow]25 DE ENERO[/color], JUNTO A LA MARCA SE LEE: [color=yellow]CUMPLEAÑOS - CLARA.[/color]"
KEY_GAME_CALENDAR_2,TÚ:\nPronto habríamos podido celebrar tus 27... Quizá podría pedir chatarra y comerla en tu nombre.,TÚ:\nPronto habríamos podido celebrar tus 27... Quizá podría pedir chatarra y comerla en tu nombre.
